Name,Category,Latitude,Longitude
Khyber Restaurant,restaurant,9.9685741,76.2864203
Koder House,restaurant,9.9672455,76.2426715
KR Bakes,restaurant,9.9671019,76.3185749
Kudumba Sree Canteen,restaurant,9.9652656,76.3777524
Kunnpuram,restaurant,9.9641585,76.2454972
Kushi Cafe,restaurant,9.9635748,76.2430836
Lakshmi Hotel,restaurant,9.9500776,76.3312836
Le Bakes,restaurant,10.0278815,76.305476
Le Café,restaurant,10.1388426,76.1795753
Le Jardin Secret,restaurant,9.9657879,76.2425601
Lilliput,restaurant,10.1410523,76.1791122
Luciya's Food court,restaurant,10.0043129,76.3107128
Madras Cafe,restaurant,10.144452,76.2260789
Malabar Cafe,restaurant,9.9890532,76.2642735
Malabar Plaza,restaurant,9.9814947,76.2833669
Malabar Restaurant Athani,restaurant,10.1526682,76.3550969
Mary's Kitchen,restaurant,9.9644736,76.2430931
Mash Resto-Cafe,restaurant,9.9630007,76.2840712
Mellow Manna,restaurant,9.9746063,76.3151576
Menorah Restaurant,restaurant,9.9672619,76.2426498
Milma Canteen,restaurant,9.9563036,76.3479796
Naturals,restaurant,9.9649928,76.2896748
Nila Restaurant,restaurant,10.0243795,76.3084353
Oceanos,restaurant,9.9630384,76.2391052
Open Flame Restaurant,restaurant,9.9553875,76.2925654
Orchid the Elite Garden Restaurant,restaurant,9.9661482,76.2424088
Palaaram,restaurant,10.1460386,76.2352395
Pappada vada,restaurant,9.9942364,76.2924487
Paravur Tourist Home(PTH),restaurant,10.1483787,76.2291965
Pepper House,restaurant,9.9688576,76.2502907
Periyar Club,restaurant,10.1262728,76.3490787
Pizza Italia,restaurant,9.967199,76.2432199
Prana Restaurant,restaurant,10.1470784,76.2287536
Punjab House,restaurant,9.9784034,76.2779809
Rahmaniya Kethals Chicken,restaurant,9.9964444,76.2929529
Raintree Restaurant,restaurant,9.9670771,76.244534
Rangeela Family Restaurant Vegetarian,restaurant,9.9791698,76.2813627
Rangoli,restaurant,9.9699455,76.285407
Real Arabia,restaurant,9.959554,76.2451967
Restaurant Ela,restaurant,9.9774728,76.2773671
Rolexio,restaurant,10.0116229,76.3031046
Rose Garden,restaurant,9.9655368,76.2436764
Saffire Restaurant,restaurant,10.0241389,76.308015
Salala bakery,restaurant,10.1044552,76.358638
Salt and Pepper,restaurant,9.9671815,76.2434236
Sanam,restaurant,9.9685824,76.2892576
Sardarji ka Daba,restaurant,9.9858284,76.280936
Sarovaram,restaurant,9.9491504,76.3172271
Seapark,restaurant,10.049115,76.3187471
Shala,restaurant,9.9655014,76.2420706
Shantilal Sweet store,restaurant,9.9597213,76.2552363
Shapotel,restaurant,9.9485296,76.3186989
Sidra Pristine,restaurant,9.9934196,76.2871774
Slice of Spice Restaurant,restaurant,10.1493655,76.2382122
Slice of Spice Restaurant,restaurant,9.9855659,76.2770053
Spice Root Restaurant,restaurant,9.9644415,76.2430534
spice shop GMS,restaurant,9.9773732,76.2778869
Sree Balaji Vegetarian Restaurant,restaurant,9.9668863,76.3071234
Sree Ganesha Restaurant,restaurant,9.95639,76.259759
Sri Krishna Café,restaurant,9.9578571,76.2546772
Sri Krishna inn,restaurant,9.96645,76.2850629
Sukh Sagar,restaurant,10.1414267,76.2290388
Surya Kudumbasree,restaurant,9.9905283,76.2656269
Sutra,restaurant,9.9666523,76.2417696
Taj Mahal,restaurant,9.9642561,76.2427961
Talk of the Town,restaurant,9.9652928,76.2436471
Tandoor,restaurant,9.9697304,76.285255
Thai Soul,restaurant,9.9884256,76.2644404
Thalassery Adukkala,restaurant,9.9734477,76.3103628
The Chillax,restaurant,9.9685914,76.2516305
The Drawing Room,restaurant,9.9671233,76.2405567
The Malabar Junction,restaurant,9.9643978,76.2393706
The Renai,restaurant,10.0052444,76.3053781
The Tibet Kitchen,restaurant,9.9657902,76.2441036
Tibetan Chef's Restaurant,restaurant,9.9640897,76.2429715
Udupi Hotel,restaurant,10.1490817,76.2312965
Ummi's,restaurant,9.968642,76.2878549
Uncle's restaurant,restaurant,9.9652652,76.2437334
Upstairs Italian Restaurant,restaurant,9.9653883,76.2436388
Vadakkans,restaurant,10.1947886,76.3876488
Vegetarian Restaurant,restaurant,10.1512473,76.2228091
Zaina Bakery,restaurant,10.1079331,76.3591345
5 star fresh chips,Bakery,10.1188175,76.3431415
Afters,Bakery,9.9712869,76.3173628
Amigo Stores Bakery & Coolbar,Bakery,9.9944898,76.2919279
Ammas,Bakery,10.1488555,76.2294893
Anu Bakery,Bakery,10.1038536,76.2945047
Bake my day,Bakery,9.9660537,76.2969265
Best bakers,Bakery,10.0479616,76.2953257
Bread World,Bakery,9.9719705,76.3020891
Chaitram,Bakery,10.1190186,76.3430789
Chocolate bake house,Bakery,9.9960974,76.2804062
Geo bakery,Bakery,10.1444263,76.2257614
Jaya's Bakery,Bakery,10.0027492,76.306035
Kamala,Bakery,10.1490046,76.2328328
Kayees Bakery & Juice Shop,Bakery,10.0811705,76.3645305
Kochara Bakery,Bakery,10.0815792,76.3643548
KR Bakery,Bakery,10.0313245,76.3116627
Menachery Bakery,Bakery,10.1122353,76.2601927
Nasar Bakers,Bakery,10.1491079,76.2338974
Navya Bakery,Bakery,10.1444736,76.2265347
New Grand Bakery and Sweets,Bakery,9.9640686,76.2455483
Paal Ice,Bakery,9.9922053,76.2929914
Passage Malabar,Bakery,9.9647354,76.2411022
Puthussery,Bakery,10.1560685,76.3539549
Royal Bakery,Bakery,9.998759,76.2965324
Shaan Bakery,Bakery,10.003212,76.307323
Sree Vinayaka Chips and bakery,Bakery,10.1488064,76.2242689
Super Bakers,Bakery,9.9971091,76.2914095
Taste 'N' See Bakery,Bakery,9.964162,76.2456597
